dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,entity_level,entity_name,metric_type,transaction_count,transaction_amount
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,telangana,TOTAL,34395,8406543.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,himachal pradesh,TOTAL,531,165559.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,west bengal,TOTAL,12596,2878482.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,gujarat,TOTAL,12525,3335812.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,sikkim,TOTAL,94,28000.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,nagaland,TOTAL,89,20798.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,mizoram,TOTAL,74,24691.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,chhattisgarh,TOTAL,4702,1393656.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,jammu & kashmir,TOTAL,441,133339.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,goa,TOTAL,683,196864.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,arunachal pradesh,TOTAL,135,39687.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,delhi,TOTAL,7588,1927285.0
map,insurance,hover,india,country,,2020,3,,,True,SUCCESS,1692610844764,data\map\insurance\hover\country\india\2020\3.json,state,uttarakhand,TOTAL,1403,418543.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,puducherry,TOTAL,234,197955.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,tamil nadu,TOTAL,10290,8993575.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,uttar pradesh,TOTAL,17470,14180417.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,madhya pradesh,TOTAL,10653,4897124.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,andhra pradesh,TOTAL,21464,12985632.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,tripura,TOTAL,244,149765.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,manipur,TOTAL,90,49057.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,maharashtra,TOTAL,44798,27113814.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,dadra & nagar haveli & daman & diu,TOTAL,232,149513.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,meghalaya,TOTAL,92,71029.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,andaman & nicobar islands,TOTAL,124,157975.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,haryana,TOTAL,8283,5974278.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,rajasthan,TOTAL,12509,6471573.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,ladakh,TOTAL,27,34206.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,punjab,TOTAL,2451,1884291.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,assam,TOTAL,2413,1806801.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,jharkhand,TOTAL,3659,2857024.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,odisha,TOTAL,7526,4208701.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,bihar,TOTAL,9913,7860932.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,kerala,TOTAL,5479,4445525.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,karnataka,TOTAL,31747,26814968.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,chandigarh,TOTAL,200,153341.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,telangana,TOTAL,20961,11339099.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,himachal pradesh,TOTAL,710,630966.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,west bengal,TOTAL,10233,7510455.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,gujarat,TOTAL,9990,6055037.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,sikkim,TOTAL,67,70214.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,nagaland,TOTAL,62,38836.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,mizoram,TOTAL,81,119124.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,chhattisgarh,TOTAL,3757,2249901.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,jammu & kashmir,TOTAL,647,734861.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,goa,TOTAL,614,682364.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,arunachal pradesh,TOTAL,125,84247.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,delhi,TOTAL,9725,8045442.0
map,insurance,hover,india,country,,2020,4,,,True,SUCCESS,1692610897793,data\map\insurance\hover\country\india\2020\4.json,state,uttarakhand,TOTAL,1756,1961891.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,puducherry,TOTAL,372,351827.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,tamil nadu,TOTAL,14406,11180849.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,uttar pradesh,TOTAL,24103,18027573.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,madhya pradesh,TOTAL,14427,5567927.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,andhra pradesh,TOTAL,22105,12749874.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,tripura,TOTAL,360,191531.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,lakshadweep,TOTAL,4,5225.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,manipur,TOTAL,136,72254.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,maharashtra,TOTAL,55792,33137753.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,dadra & nagar haveli & daman & diu,TOTAL,467,285691.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,meghalaya,TOTAL,107,128776.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,andaman & nicobar islands,TOTAL,225,244266.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,haryana,TOTAL,11038,7297880.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,rajasthan,TOTAL,17800,8074225.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,ladakh,TOTAL,32,34530.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,punjab,TOTAL,3783,2558380.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,assam,TOTAL,3167,2334419.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,jharkhand,TOTAL,4879,3274851.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,odisha,TOTAL,8236,4383330.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,bihar,TOTAL,12554,8796619.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,kerala,TOTAL,5731,5040506.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,karnataka,TOTAL,37595,30183325.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,chandigarh,TOTAL,338,238576.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,telangana,TOTAL,28298,14810947.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,himachal pradesh,TOTAL,1064,906492.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,west bengal,TOTAL,15488,11172042.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,gujarat,TOTAL,12673,7288104.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,sikkim,TOTAL,122,111777.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,nagaland,TOTAL,79,42973.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,mizoram,TOTAL,415,302841.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,chhattisgarh,TOTAL,4712,2620468.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,jammu & kashmir,TOTAL,1105,1546288.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,goa,TOTAL,879,827384.0
map,insurance,hover,india,country,,2021,1,,,True,SUCCESS,1692610949630,data\map\insurance\hover\country\india\2021\1.json,state,arunachal pradesh,TOTAL,194,131611.0
