dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,transaction_type,payment_instrument_type,transaction_count,transaction_amount
aggregated,insurance,,india,state,andhra-pradesh,2023,2,1680287400000,1687890600000,True,SUCCESS,1692619345955,data\aggregated\insurance\country\india\state\andhra-pradesh\2023\2.json,Insurance,TOTAL,36376,52067478.0
aggregated,insurance,,india,state,andhra-pradesh,2023,3,1688149800000,1695839400000,True,SUCCESS,1697612180825,data\aggregated\insurance\country\india\state\andhra-pradesh\2023\3.json,Insurance,TOTAL,43150,57802396.0
aggregated,insurance,,india,state,andhra-pradesh,2023,4,1696098600000,1703701800000,True,SUCCESS,1706092837432,data\aggregated\insurance\country\india\state\andhra-pradesh\2023\4.json,Insurance,TOTAL,41798,62342423.0
aggregated,insurance,,india,state,andhra-pradesh,2024,1,1704047400000,1711564200000,True,SUCCESS,1714727723824,data\aggregated\insurance\country\india\state\andhra-pradesh\2024\1.json,Insurance,TOTAL,46582,63563802.0
aggregated,insurance,,india,state,andhra-pradesh,2024,2,1711909800000,1719513000000,True,SUCCESS,1722517848063,data\aggregated\insurance\country\india\state\andhra-pradesh\2024\2.json,Insurance,TOTAL,42547,62948281.0
aggregated,insurance,,india,state,andhra-pradesh,2024,3,1719792000000,1727481600000,True,SUCCESS,1739974374856,data\aggregated\insurance\country\india\state\andhra-pradesh\2024\3.json,Insurance,TOTAL,48014,73915199.0
aggregated,insurance,,india,state,andhra-pradesh,2024,4,1727740800000,1735344000000,True,SUCCESS,1739974596953,data\aggregated\insurance\country\india\state\andhra-pradesh\2024\4.json,Insurance,TOTAL,61425,80028914.0
aggregated,insurance,,india,state,arunachal-pradesh,2020,2,1585679400000,1593282600000,True,SUCCESS,1692610837722,data\aggregated\insurance\country\india\state\arunachal-pradesh\2020\2.json,Insurance,TOTAL,65,14329.0
aggregated,insurance,,india,state,arunachal-pradesh,2020,3,1593541800000,1601231400000,True,SUCCESS,1692610890673,data\aggregated\insurance\country\india\state\arunachal-pradesh\2020\3.json,Insurance,TOTAL,135,39687.0
aggregated,insurance,,india,state,arunachal-pradesh,2020,4,1601490600000,1609093800000,True,SUCCESS,1692610942320,data\aggregated\insurance\country\india\state\arunachal-pradesh\2020\4.json,Insurance,TOTAL,125,84247.0
