dataset,product,view,country,source_level,source_state,year,quarter,from_timestamp,to_timestamp,success,code,response_timestamp,source_file,entity_level,entity_name,rank,registered_users
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,pincode,110092,5,136676
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,pincode,122001,6,130847
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,pincode,395006,7,113391
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,pincode,302012,8,107088
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,pincode,560037,9,106572
top,user,,india,country,,2018,3,,,True,SUCCESS,1630501482418,data\top\user\country\india\2018\3.json,pincode,800001,10,106255
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,state,maharashtra,1,13381602
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,state,uttar pradesh,2,10341964
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,state,karnataka,3,8315802
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,state,andhra pradesh,4,6857409
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,state,telangana,5,6529679
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,state,rajasthan,6,6358738
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,state,west bengal,7,6279278
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,state,gujarat,8,5579040
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,state,madhya pradesh,9,5365442
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,state,tamil nadu,10,5199878
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,district,bengaluru urban,1,4126734
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,district,pune,2,2498852
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,district,jaipur,3,1733893
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,district,mumbai suburban,4,1578487
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,district,thane,5,1473811
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,district,hyderabad,6,1336872
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,district,rangareddy,7,1217664
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,district,ahmadabad,8,1212636
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,district,medchal malkajgiri,9,1056739
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,district,surat,10,998807
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,pincode,201301,1,250205
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,pincode,110059,2,206537
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,pincode,560068,3,201605
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,pincode,110092,4,177133
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,pincode,500072,5,175163
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,pincode,122001,6,163556
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,pincode,560037,7,137280
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,pincode,800001,8,134254
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,pincode,110086,9,133412
top,user,,india,country,,2018,4,,,True,SUCCESS,1630501482795,data\top\user\country\india\2018\4.json,pincode,110085,10,132600
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,state,maharashtra,1,16284451
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,state,uttar pradesh,2,12458661
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,state,karnataka,3,10266174
top,user,,india,country,,2019,1,,,True,SUCCESS,1630501482795,data\top\user\country\india\2019\1.json,state,andhra pradesh,4,8283019
